wordLength,avgGuessesPerLetter,avgCorrectGuessesPerLetter,avgWrongGuessesPerLetter,stddevGuessesPerLetter,stddevCorrectGuessesPerLetter,stddevWrongGuessesPerLetter
2,9.5,1.9375,7.5625,4.6097722286464435,0.24206145913796356,4.513434806220203
3,8.947368421052632,2.7578947368421054,6.189473684210526,4.032417117763779,0.4283576831447529,3.9264145606315006
4,7.930656934306569,3.5985401459854014,4.3321167883211675,2.674345872509686,0.5398006392550171,2.562202357478242
5,7.718579234972678,4.213114754098361,3.5054644808743167,1.9326173970252511,0.7249967951320283,1.85358099072459
6,7.440097799511002,4.636511817440913,2.8035859820700897,1.7566609032899796,0.9161612760667085,1.5202153746737237
7,6.888461538461539,4.80989010989011,2.0785714285714287,1.6056831917464212,1.0525275643129037,1.3415925188581665
8,6.613033707865169,4.9460674157303375,1.6669662921348314,1.5750615500685143,1.2199701764429207,1.1658477211780875
9,6.376664056382146,5.08574784651527,1.2909162098668754,1.5878908921645385,1.351964437149157,1.0180149539106167
10,6.1355181576616475,5.050487156775908,1.0850310008857396,1.638570128324224,1.4836344405848205,0.9099572323314152
11,5.804146208401527,4.964539007092198,0.839607201309329,1.680199584307637,1.5263989112834024,0.7937441288311861
12,5.4308755760368665,4.725806451612903,0.7050691244239631,1.7221068264014994,1.5975963375574938,0.7113014314653175
13,4.977037887485649,4.551090700344432,0.425947187141217,1.638914245946988,1.5869286902717659,0.6032571309005215
14,4.691275167785235,4.367449664429531,0.3238255033557047,1.491134106739796,1.4805951344524648,0.5441909175885062
15,4.605333333333333,4.397333333333333,0.208,1.9138717012613173,1.8717530701338674,0.43749590474273775
